requisito,valor,peso
Requisito_1,15,37
Requisito_2,6,19
Requisito_3,16,20
Requisito_4,18,11
Requisito_5,12,39
Requisito_6,17,23
Requisito_7,1,13
Requisito_8,16,29
Requisito_9,11,15
Requisito_10,7,39
Requisito_11,7,16
Requisito_12,18,12
Requisito_13,18,15
Requisito_14,1,32
Requisito_15,14,40
Requisito_16,6,30
Requisito_17,11,14
Requisito_18,10,8
Requisito_19,10,28
Requisito_20,14,15
Requisito_21,2,38
Requisito_22,1,17
Requisito_23,6,30
Requisito_24,10,39
Requisito_25,7,14
Requisito_26,13,34
Requisito_27,5,28
Requisito_28,18,32
Requisito_29,2,19
Requisito_30,18,33
Requisito_31,10,33
Requisito_32,9,8
Requisito_33,9,30
Requisito_34,14,30
Requisito_35,2,25
Requisito_36,9,11
Requisito_37,4,20
Requisito_38,9,29
Requisito_39,16,11
Requisito_40,6,36
Requisito_41,2,33
Requisito_42,12,35
Requisito_43,7,17
Requisito_44,18,24
Requisito_45,6,37
Requisito_46,8,19
Requisito_47,12,21
Requisito_48,16,40
Requisito_49,14,33
Requisito_50,4,15
Requisito_51,1,15
Requisito_52,14,17
Requisito_53,8,13
Requisito_54,3,31
Requisito_55,3,37
Requisito_56,18,9
Requisito_57,7,17
Requisito_58,10,17
Requisito_59,12,31
Requisito_60,5,28
Requisito_61,17,12
Requisito_62,10,16
Requisito_63,14,12
Requisito_64,10,40
Requisito_65,7,32
Requisito_66,3,22
Requisito_67,7,22
Requisito_68,17,12
Requisito_69,18,28
Requisito_70,4,19
Requisito_71,8,18
Requisito_72,15,9
Requisito_73,15,33
Requisito_74,1,39
Requisito_75,3,34
Requisito_76,9,15
Requisito_77,4,11
Requisito_78,13,30
Requisito_79,8,35
Requisito_80,8,19
Requisito_81,6,18
Requisito_82,1,33
Requisito_83,6,15
Requisito_84,1,33
Requisito_85,6,19
Requisito_86,1,9
Requisito_87,16,35
Requisito_88,11,23
Requisito_89,1,20
Requisito_90,4,33
Requisito_91,8,31
Requisito_92,1,16
Requisito_93,10,8
Requisito_94,5,9
Requisito_95,11,27
Requisito_96,15,34
Requisito_97,9,15
Requisito_98,13,22
Requisito_99,3,37
Requisito_100,7,26
Requisito_101,5,28
Requisito_102,9,30
Requisito_103,6,27
Requisito_104,13,23
Requisito_105,17,10
Requisito_106,2,32
Requisito_107,17,25
Requisito_108,9,9
Requisito_109,3,32
Requisito_110,18,34
Requisito_111,4,39
Requisito_112,16,34
Requisito_113,6,30
Requisito_114,5,39
Requisito_115,11,16
Requisito_116,18,37
Requisito_117,16,23
Requisito_118,7,38
Requisito_119,14,16
Requisito_120,16,31
Requisito_121,13,20
Requisito_122,16,26
Requisito_123,11,16
Requisito_124,15,22
Requisito_125,12,37
Requisito_126,14,18
Requisito_127,6,26
Requisito_128,4,36
Requisito_129,14,13
Requisito_130,15,11
Requisito_131,9,11
Requisito_132,5,30
Requisito_133,1,9
Requisito_134,10,23
Requisito_135,16,27
Requisito_136,2,17
Requisito_137,9,38
Requisito_138,17,34
Requisito_139,16,36
Requisito_140,1,32
Requisito_141,17,20
Requisito_142,8,29
Requisito_143,15,40
Requisito_144,12,14
Requisito_145,8,20
Requisito_146,8,37
Requisito_147,2,38
Requisito_148,10,33
Requisito_149,12,11
Requisito_150,5,21
Requisito_151,14,11
Requisito_152,15,32
Requisito_153,15,40
Requisito_154,1,10
Requisito_155,13,15
Requisito_156,17,8
Requisito_157,4,28
Requisito_158,5,22
Requisito_159,13,38
Requisito_160,2,10
Requisito_161,17,27
Requisito_162,8,20
Requisito_163,4,39
Requisito_164,18,32
Requisito_165,6,39
Requisito_166,18,14
Requisito_167,2,8
Requisito_168,2,40
Requisito_169,18,11
Requisito_170,13,22
Requisito_171,2,8
Requisito_172,8,8
Requisito_173,14,36
Requisito_174,15,27
Requisito_175,2,24
Requisito_176,11,22
Requisito_177,5,16
Requisito_178,15,18
Requisito_179,14,18
Requisito_180,8,40
Requisito_181,10,39
Requisito_182,17,17
Requisito_183,18,13
Requisito_184,5,27
Requisito_185,6,37
Requisito_186,7,40
Requisito_187,11,27
Requisito_188,15,9
Requisito_189,7,17
Requisito_190,6,31
Requisito_191,14,16
Requisito_192,4,40
Requisito_193,16,31
Requisito_194,7,15
Requisito_195,18,30
Requisito_196,5,23
Requisito_197,10,13
Requisito_198,14,13
Requisito_199,18,23
Requisito_200,16,12
Requisito_201,11,31
Requisito_202,6,14
Requisito_203,11,33
Requisito_204,4,24
Requisito_205,2,27
Requisito_206,15,37
Requisito_207,11,37
Requisito_208,8,38
Requisito_209,12,11
Requisito_210,4,32
Requisito_211,6,40
Requisito_212,8,37
Requisito_213,13,25
Requisito_214,17,26
Requisito_215,2,40
Requisito_216,5,27
Requisito_217,8,35
Requisito_218,15,34
Requisito_219,14,14
Requisito_220,18,31
Requisito_221,15,8
Requisito_222,8,11
Requisito_223,11,8
Requisito_224,7,27
Requisito_225,8,34
Requisito_226,16,22
Requisito_227,6,17
Requisito_228,1,33
Requisito_229,4,27
Requisito_230,18,17
Requisito_231,11,22
Requisito_232,10,27
Requisito_233,9,22
Requisito_234,5,9
Requisito_235,17,17
Requisito_236,15,9
Requisito_237,18,13
Requisito_238,15,8
Requisito_239,17,39
Requisito_240,17,29
Requisito_241,8,14
Requisito_242,17,33
Requisito_243,2,24
Requisito_244,12,25
Requisito_245,18,26
Requisito_246,12,28
Requisito_247,5,38
Requisito_248,16,19
Requisito_249,17,17
Requisito_250,16,20
Requisito_251,8,13
Requisito_252,16,40
Requisito_253,6,24
Requisito_254,18,11
Requisito_255,16,12
Requisito_256,12,31
Requisito_257,18,19
Requisito_258,15,8
Requisito_259,5,15
Requisito_260,17,22
Requisito_261,9,37
Requisito_262,18,25
Requisito_263,13,14
Requisito_264,18,31
Requisito_265,12,9
Requisito_266,3,24
Requisito_267,2,15
Requisito_268,16,32
Requisito_269,12,22
Requisito_270,9,12
Requisito_271,13,30
Requisito_272,6,23
Requisito_273,13,26
Requisito_274,15,37
Requisito_275,7,30
Requisito_276,10,28
Requisito_277,9,37
Requisito_278,18,32
Requisito_279,12,20
Requisito_280,15,38
Requisito_281,6,22
Requisito_282,3,13
Requisito_283,18,13
Requisito_284,12,17
Requisito_285,5,36
Requisito_286,18,24
Requisito_287,6,21
Requisito_288,11,13
Requisito_289,12,23
Requisito_290,3,30
Requisito_291,6,20
Requisito_292,18,37
Requisito_293,9,16
Requisito_294,18,30
Requisito_295,7,26
Requisito_296,15,27
Requisito_297,16,30
Requisito_298,9,12
Requisito_299,3,28
Requisito_300,1,18
Requisito_301,9,17
Requisito_302,10,36
Requisito_303,15,12
Requisito_304,13,18
Requisito_305,17,31
Requisito_306,14,20
Requisito_307,1,15
Requisito_308,5,12
Requisito_309,3,37
Requisito_310,14,27
Requisito_311,8,18
Requisito_312,11,11
Requisito_313,12,29
Requisito_314,18,32
Requisito_315,8,21
Requisito_316,10,40
Requisito_317,2,11
Requisito_318,15,16
Requisito_319,16,20
Requisito_320,15,27
Requisito_321,14,35
Requisito_322,16,29
Requisito_323,1,18
Requisito_324,15,30
Requisito_325,3,29
Requisito_326,16,23
Requisito_327,16,11
Requisito_328,8,11
Requisito_329,5,38
Requisito_330,3,26
Requisito_331,8,27
Requisito_332,2,29
Requisito_333,17,22
Requisito_334,10,34
Requisito_335,18,26
Requisito_336,10,38
Requisito_337,12,19
Requisito_338,9,33
Requisito_339,11,33
Requisito_340,3,21
Requisito_341,18,22
Requisito_342,13,22
Requisito_343,18,35
Requisito_344,1,20
Requisito_345,15,22
Requisito_346,8,27
Requisito_347,14,40
Requisito_348,18,33
Requisito_349,18,13
Requisito_350,11,30
Requisito_351,3,8
Requisito_352,17,39
Requisito_353,11,10
Requisito_354,10,31
Requisito_355,3,12
Requisito_356,15,8
Requisito_357,8,9
Requisito_358,14,30
Requisito_359,12,21
Requisito_360,11,32
Requisito_361,14,31
Requisito_362,13,18
Requisito_363,13,30
Requisito_364,8,25
Requisito_365,10,18
Requisito_366,6,29
Requisito_367,13,8
Requisito_368,11,15
Requisito_369,14,30
Requisito_370,12,30
Requisito_371,1,38
Requisito_372,17,32
Requisito_373,12,18
Requisito_374,18,36
Requisito_375,3,36
Requisito_376,16,16
Requisito_377,14,20
Requisito_378,3,34
Requisito_379,12,32
Requisito_380,2,31
Requisito_381,9,13
Requisito_382,8,9
Requisito_383,9,23
Requisito_384,9,35
Requisito_385,1,19
Requisito_386,7,32
Requisito_387,14,30
Requisito_388,13,32
Requisito_389,7,40
Requisito_390,6,22
Requisito_391,5,33
Requisito_392,5,20
Requisito_393,18,28
Requisito_394,12,19
Requisito_395,14,27
Requisito_396,11,32
Requisito_397,16,9
Requisito_398,13,23
Requisito_399,14,16
Requisito_400,18,26
Requisito_401,16,15
Requisito_402,9,24
Requisito_403,8,31
Requisito_404,9,30
Requisito_405,9,20
Requisito_406,5,29
Requisito_407,2,22
Requisito_408,14,37
Requisito_409,7,14
Requisito_410,8,38
Requisito_411,11,10
Requisito_412,17,37
Requisito_413,3,17
Requisito_414,6,38
Requisito_415,9,19
Requisito_416,7,31
Requisito_417,7,21
Requisito_418,12,24
Requisito_419,18,33
Requisito_420,13,13
Requisito_421,18,21
Requisito_422,16,9
Requisito_423,8,21
Requisito_424,3,9
Requisito_425,8,40
Requisito_426,16,12
Requisito_427,7,16
Requisito_428,6,35
Requisito_429,3,32
Requisito_430,15,33
Requisito_431,2,14
Requisito_432,9,30
Requisito_433,15,16
Requisito_434,9,17
Requisito_435,12,33
Requisito_436,5,39
Requisito_437,10,15
Requisito_438,4,31
Requisito_439,18,33
Requisito_440,10,29
Requisito_441,16,24
Requisito_442,18,32
Requisito_443,4,18
Requisito_444,1,30
Requisito_445,16,24
Requisito_446,5,29
Requisito_447,6,13
Requisito_448,17,15
Requisito_449,17,10
Requisito_450,17,31
Requisito_451,15,24
Requisito_452,1,27
Requisito_453,6,18
Requisito_454,1,15
Requisito_455,1,31
Requisito_456,16,40
Requisito_457,8,20
Requisito_458,10,19
Requisito_459,3,21
Requisito_460,16,39
Requisito_461,13,29
Requisito_462,14,35
Requisito_463,12,29
Requisito_464,14,23
Requisito_465,12,24
Requisito_466,4,12
Requisito_467,11,11
Requisito_468,14,22
Requisito_469,18,39
Requisito_470,3,39
Requisito_471,14,22
Requisito_472,8,30
Requisito_473,10,38
Requisito_474,15,36
Requisito_475,17,36
Requisito_476,2,13
Requisito_477,3,40
Requisito_478,13,9
Requisito_479,10,13
Requisito_480,1,25
Requisito_481,17,40
Requisito_482,6,20
Requisito_483,9,35
Requisito_484,18,15
Requisito_485,12,31
Requisito_486,8,24
Requisito_487,15,19
Requisito_488,13,36
Requisito_489,4,30
Requisito_490,3,27
Requisito_491,8,29
Requisito_492,5,11
Requisito_493,4,18
Requisito_494,14,15
Requisito_495,15,20
Requisito_496,15,14
Requisito_497,18,14
Requisito_498,10,18
Requisito_499,15,34
Requisito_500,10,26
