sprint,requisito,valor_req,peso_req
Sprint 1,Requisito_1,16.0,20.0
Sprint 1,Requisito_2,17.0,20.0
Sprint 1,Requisito_3,4.0,17.0
Sprint 1,Requisito_4,9.0,20.0
Sprint 1,Requisito_5,7.0,20.0
Sprint 1,Requisito_6,5.0,25.0
Sprint 1,Requisito_98,15.0,30.0
Sprint 2,Requisito_8,5.0,34.0
Sprint 2,Requisito_9,8.0,31.0
Sprint 2,Requisito_11,3.0,39.0
Sprint 2,Requisito_12,15.0,36.0
Sprint 2,Requisito_195,12.0,38.0
Sprint 3,Requisito_7,4.0,30.0
Sprint 3,Requisito_10,2.0,23.0
Sprint 3,Requisito_13,18.0,12.0
Sprint 3,Requisito_14,10.0,33.0
Sprint 3,Requisito_16,18.0,18.0
Sprint 3,Requisito_17,2.0,30.0
Sprint 3,Requisito_18,15.0,21.0
Sprint 3,Requisito_19,2.0,12.0
Sprint 4,Requisito_20,10.0,19.0
Sprint 4,Requisito_21,16.0,11.0
Sprint 4,Requisito_22,18.0,17.0
Sprint 4,Requisito_23,18.0,38.0
Sprint 4,Requisito_24,6.0,34.0
Sprint 4,Requisito_25,10.0,25.0
Sprint 4,Requisito_27,9.0,34.0
Sprint 5,Requisito_26,13.0,32.0
Sprint 5,Requisito_28,9.0,29.0
Sprint 5,Requisito_30,8.0,16.0
Sprint 5,Requisito_31,6.0,30.0
Sprint 5,Requisito_32,12.0,37.0
Sprint 5,Requisito_34,2.0,16.0
Sprint 5,Requisito_35,17.0,20.0
Sprint 6,Requisito_15,3.0,38.0
Sprint 6,Requisito_36,14.0,20.0
Sprint 6,Requisito_37,9.0,36.0
Sprint 6,Requisito_38,1.0,30.0
Sprint 6,Requisito_39,5.0,26.0
Sprint 6,Requisito_41,12.0,30.0
Sprint 7,Requisito_33,14.0,10.0
Sprint 7,Requisito_42,11.0,23.0
Sprint 7,Requisito_43,17.0,22.0
Sprint 7,Requisito_44,15.0,23.0
Sprint 7,Requisito_45,1.0,17.0
Sprint 7,Requisito_46,11.0,40.0
Sprint 7,Requisito_47,6.0,11.0
Sprint 7,Requisito_48,11.0,15.0
Sprint 7,Requisito_49,3.0,17.0
Sprint 8,Requisito_51,1.0,35.0
Sprint 8,Requisito_52,9.0,25.0
Sprint 8,Requisito_54,3.0,40.0
Sprint 8,Requisito_55,9.0,36.0
Sprint 8,Requisito_56,14.0,36.0
Sprint 9,Requisito_40,6.0,9.0
Sprint 9,Requisito_50,15.0,13.0
Sprint 9,Requisito_53,10.0,13.0
Sprint 9,Requisito_58,5.0,21.0
Sprint 9,Requisito_59,16.0,35.0
Sprint 9,Requisito_60,14.0,9.0
Sprint 9,Requisito_61,3.0,24.0
Sprint 9,Requisito_62,4.0,24.0
Sprint 9,Requisito_63,8.0,32.0
Sprint 10,Requisito_64,10.0,31.0
Sprint 10,Requisito_65,4.0,31.0
Sprint 10,Requisito_66,13.0,20.0
Sprint 10,Requisito_67,3.0,9.0
Sprint 10,Requisito_68,3.0,25.0
