sprint,requisito,valor_req,peso_req
Sprint 1,Req-01,54,24
Sprint 1,Req-03,36,24
Sprint 1,Req-07,24,24
Sprint 1,Req-14,54,144
Sprint 1,Req-17,36,72
Sprint 1,Req-18,36,72
Sprint 1,Req-43,2,24
Sprint 1,Req-46,2,24
Sprint 1,Req-56,8,72
Sprint 2,Req-11,12,24
Sprint 2,Req-19,36,72
Sprint 2,Req-22,24,72
Sprint 2,Req-30,6,24
Sprint 2,Req-32,12,72
Sprint 2,Req-38,12,72
Sprint 2,Req-62,12,144
Sprint 3,Req-02,54,24
Sprint 3,Req-08,54,72
Sprint 3,Req-23,12,24
Sprint 3,Req-29,36,144
Sprint 3,Req-37,18,72
Sprint 3,Req-39,12,72
Sprint 3,Req-60,8,72
Sprint 4,Req-06,24,24
Sprint 4,Req-12,36,72
Sprint 4,Req-21,12,24
Sprint 4,Req-31,12,72
Sprint 4,Req-33,24,144
Sprint 4,Req-44,18,144
Sprint 5,Req-16,18,24
Sprint 5,Req-40,12,72
Sprint 5,Req-45,6,72
Sprint 5,Req-48,12,144
Sprint 5,Req-50,6,72
Sprint 5,Req-52,6,72
Sprint 5,Req-65,6,24
Sprint 6,Req-04,36,24
Sprint 6,Req-05,24,24
Sprint 6,Req-09,54,72
Sprint 6,Req-13,18,24
Sprint 6,Req-20,8,24
Sprint 6,Req-25,12,24
Sprint 6,Req-26,12,24
Sprint 6,Req-27,8,24
Sprint 6,Req-28,6,24
Sprint 6,Req-35,4,24
Sprint 6,Req-36,4,24
Sprint 6,Req-41,6,72
Sprint 6,Req-42,8,72
Sprint 6,Req-61,6,24
Sprint 7,Req-10,16,24
Sprint 7,Req-15,54,144
Sprint 7,Req-24,24,72
Sprint 7,Req-34,8,72
Sprint 7,Req-47,18,144
Sprint 7,Req-66,12,24
