sprint,requisito,valor_req,peso_req
Sprint 1,Requisito_20,20.0,103.0
Sprint 1,Requisito_21,10.0,142.0
Sprint 1,Requisito_32,15.0,144.0
Sprint 1,Requisito_81,33.0,113.0
Sprint 2,Requisito_13,45.0,32.0
Sprint 2,Requisito_33,27.0,68.0
Sprint 2,Requisito_35,40.0,96.0
Sprint 2,Requisito_49,7.0,76.0
Sprint 2,Requisito_62,22.0,122.0
Sprint 2,Requisito_73,35.0,114.0
Sprint 2,Requisito_87,14.0,142.0
Sprint 2,Requisito_89,7.0,109.0
Sprint 3,Requisito_27,27.0,113.0
Sprint 3,Requisito_53,17.0,101.0
Sprint 3,Requisito_54,17.0,94.0
Sprint 3,Requisito_71,17.0,88.0
Sprint 3,Requisito_72,43.0,40.0
Sprint 3,Requisito_74,53.0,104.0
Sprint 3,Requisito_87,14.0,142.0
Sprint 4,Requisito_1,41.0,23.0
Sprint 4,Requisito_10,11.0,78.0
Sprint 4,Requisito_11,21.0,91.0
Sprint 4,Requisito_16,40.0,20.0
Sprint 4,Requisito_22,20.0,70.0
Sprint 4,Requisito_58,49.0,25.0
Sprint 4,Requisito_61,23.0,142.0
Sprint 4,Requisito_86,4.0,76.0
Sprint 4,Requisito_99,32.0,25.0
Sprint 5,Requisito_30,39.0,31.0
Sprint 5,Requisito_43,34.0,75.0
Sprint 5,Requisito_65,31.0,125.0
Sprint 5,Requisito_83,53.0,58.0
Sprint 5,Requisito_85,15.0,80.0
Sprint 5,Requisito_87,14.0,142.0
Sprint 5,Requisito_95,21.0,27.0
Sprint 6,Requisito_9,12.0,23.0
Sprint 6,Requisito_17,41.0,87.0
Sprint 6,Requisito_21,10.0,142.0
Sprint 6,Requisito_31,5.0,90.0
Sprint 6,Requisito_47,15.0,57.0
Sprint 6,Requisito_86,4.0,76.0
Sprint 6,Requisito_94,35.0,141.0
Sprint 6,Requisito_97,40.0,88.0
Sprint 7,Requisito_6,27.0,112.0
Sprint 7,Requisito_29,32.0,52.0
Sprint 7,Requisito_31,5.0,90.0
Sprint 7,Requisito_39,8.0,71.0
Sprint 7,Requisito_78,20.0,104.0
Sprint 7,Requisito_89,7.0,109.0
Sprint 7,Requisito_91,7.0,122.0
Sprint 8,Requisito_18,6.0,16.0
Sprint 8,Requisito_25,21.0,51.0
Sprint 8,Requisito_40,40.0,125.0
Sprint 8,Requisito_50,22.0,98.0
Sprint 8,Requisito_68,48.0,59.0
Sprint 8,Requisito_74,53.0,104.0
Sprint 8,Requisito_84,23.0,93.0
Sprint 8,Requisito_96,5.0,17.0
Sprint 8,Requisito_98,15.0,101.0
Sprint 9,Requisito_4,52.0,33.0
Sprint 9,Requisito_7,18.0,23.0
Sprint 9,Requisito_24,52.0,50.0
Sprint 9,Requisito_45,48.0,135.0
Sprint 9,Requisito_55,33.0,60.0
Sprint 9,Requisito_60,33.0,62.0
Sprint 9,Requisito_80,44.0,34.0
Sprint 9,Requisito_98,15.0,101.0
Sprint 10,Requisito_2,36.0,37.0
Sprint 10,Requisito_26,22.0,138.0
Sprint 10,Requisito_46,10.0,116.0
Sprint 10,Requisito_66,2.0,32.0
Sprint 10,Requisito_70,49.0,87.0
Sprint 10,Requisito_76,22.0,16.0
Sprint 10,Requisito_77,49.0,51.0
Sprint 10,Requisito_86,4.0,76.0
Sprint 11,Requisito_5,26.0,93.0
Sprint 11,Requisito_8,10.0,123.0
Sprint 11,Requisito_51,5.0,55.0
Sprint 11,Requisito_63,12.0,19.0
Sprint 11,Requisito_90,32.0,114.0
Sprint 11,Requisito_91,7.0,122.0
Sprint 12,Requisito_19,45.0,50.0
Sprint 12,Requisito_37,27.0,49.0
Sprint 12,Requisito_38,46.0,57.0
Sprint 12,Requisito_40,40.0,125.0
Sprint 12,Requisito_44,53.0,142.0
Sprint 12,Requisito_52,43.0,91.0
Sprint 13,Requisito_15,3.0,88.0
Sprint 13,Requisito_28,33.0,57.0
Sprint 13,Requisito_34,43.0,78.0
Sprint 13,Requisito_41,19.0,112.0
Sprint 13,Requisito_48,20.0,139.0
Sprint 13,Requisito_66,2.0,32.0
Sprint 13,Requisito_78,20.0,104.0
Sprint 13,Requisito_88,25.0,23.0
Sprint 13,Requisito_92,54.0,54.0
Sprint 13,Requisito_93,24.0,66.0
Sprint 14,Requisito_3,41.0,49.0
Sprint 14,Requisito_14,54.0,91.0
Sprint 14,Requisito_31,5.0,90.0
Sprint 14,Requisito_56,5.0,47.0
Sprint 14,Requisito_57,17.0,55.0
Sprint 14,Requisito_59,27.0,50.0
Sprint 14,Requisito_67,18.0,107.0
Sprint 14,Requisito_96,5.0,17.0
Sprint 15,Requisito_36,42.0,57.0
Sprint 15,Requisito_42,48.0,111.0
Sprint 15,Requisito_48,20.0,139.0
Sprint 15,Requisito_75,46.0,60.0
Sprint 15,Requisito_100,28.0,124.0
Sprint 16,Requisito_12,30.0,122.0
Sprint 16,Requisito_13,45.0,32.0
Sprint 16,Requisito_23,7.0,25.0
Sprint 16,Requisito_49,7.0,76.0
Sprint 16,Requisito_64,35.0,97.0
Sprint 16,Requisito_79,15.0,69.0
Sprint 16,Requisito_82,13.0,93.0
