sprint,requisito,valor_req,peso_req
Sprint 1,Requisito_1,54.0,24.0
Sprint 1,Requisito_2,54.0,24.0
Sprint 1,Requisito_3,36.0,24.0
Sprint 1,Requisito_4,36.0,24.0
Sprint 1,Requisito_5,24.0,24.0
Sprint 1,Requisito_6,24.0,24.0
Sprint 1,Requisito_7,24.0,24.0
Sprint 1,Requisito_8,54.0,72.0
Sprint 1,Requisito_9,54.0,72.0
Sprint 1,Requisito_10,16.0,24.0
Sprint 1,Requisito_11,12.0,24.0
Sprint 1,Requisito_12,36.0,72.0
Sprint 1,Requisito_13,18.0,24.0
Sprint 1,Requisito_16,18.0,24.0
Sprint 2,Requisito_14,54.0,144.0
Sprint 2,Requisito_15,54.0,144.0
Sprint 2,Requisito_17,36.0,72.0
Sprint 2,Requisito_18,36.0,72.0
Sprint 2,Requisito_20,8.0,24.0
Sprint 2,Requisito_21,12.0,24.0
Sprint 3,Requisito_19,36.0,72.0
Sprint 3,Requisito_22,24.0,72.0
Sprint 3,Requisito_23,12.0,24.0
Sprint 3,Requisito_24,24.0,72.0
Sprint 3,Requisito_25,12.0,24.0
Sprint 3,Requisito_26,12.0,24.0
Sprint 3,Requisito_27,8.0,24.0
Sprint 3,Requisito_28,6.0,24.0
Sprint 3,Requisito_29,36.0,144.0
Sprint 4,Requisito_30,6.0,24.0
Sprint 4,Requisito_31,12.0,72.0
Sprint 4,Requisito_32,12.0,72.0
Sprint 4,Requisito_33,24.0,144.0
Sprint 4,Requisito_34,8.0,72.0
Sprint 4,Requisito_35,4.0,24.0
Sprint 4,Requisito_36,4.0,24.0
Sprint 4,Requisito_43,2.0,24.0
Sprint 4,Requisito_46,2.0,24.0
Sprint 5,Requisito_37,18.0,72.0
Sprint 5,Requisito_38,12.0,72.0
Sprint 5,Requisito_39,12.0,72.0
Sprint 5,Requisito_40,12.0,72.0
Sprint 5,Requisito_41,6.0,72.0
Sprint 5,Requisito_42,8.0,72.0
Sprint 6,Requisito_44,18.0,144.0
Sprint 6,Requisito_45,6.0,72.0
Sprint 6,Requisito_47,18.0,144.0
Sprint 6,Requisito_49,4.0,72.0
Sprint 7,Requisito_48,12.0,144.0
