requisito,valor,peso
Req-01,54,24
Req-02,54,24
Req-03,36,24
Req-04,36,24
Req-05,24,24
Req-06,24,24
Req-07,24,24
Req-08,54,72
Req-09,54,72
Req-10,16,24
Req-11,12,24
Req-12,36,72
Req-13,18,24
Req-14,54,144
Req-15,54,144
Req-16,18,24
Req-17,36,72
Req-18,36,72
Req-19,36,72
Req-20,8,24
Req-21,12,24
Req-22,24,72
Req-23,12,24
Req-24,24,72
Req-25,12,24
Req-26,12,24
Req-27,8,24
Req-28,6,24
Req-29,36,144
Req-30,6,24
Req-31,12,72
Req-32,12,72
Req-33,24,144
Req-34,8,72
Req-35,4,24
Req-36,4,24
Req-37,18,72
Req-38,12,72
Req-39,12,72
Req-40,12,72
Req-41,6,72
Req-42,8,72
Req-43,2,24
Req-44,18,144
Req-45,6,72
Req-46,2,24
Req-47,18,144
Req-48,12,144
Req-49,4,72
Req-50,6,72
Req-51,4,72
Req-52,6,72
Req-53,4,72
Req-54,4,72
Req-55,4,72
Req-56,8,72
Req-57,6,72
Req-58,6,144
Req-59,6,144
Req-60,8,72
Req-61,6,24
Req-62,12,144
Req-63,6,144
Req-64,8,144
Req-65,6,24
Req-66,12,24
Req-67,6,144
Req-68,2,144
Req-69,4,144
Req-70,4,144
