requisito,valor,peso
Requisito_1,54,24
Requisito_2,54,24
Requisito_3,36,24
Requisito_4,36,24
Requisito_5,24,24
Requisito_6,24,24
Requisito_7,24,24
Requisito_8,54,72
Requisito_9,54,72
Requisito_10,16,24
Requisito_11,12,24
Requisito_12,36,72
Requisito_13,18,24
Requisito_14,54,144
Requisito_15,54,144
Requisito_16,18,24
Requisito_17,36,72
Requisito_18,36,72
Requisito_19,36,72
Requisito_20,8,24
Requisito_21,12,24
Requisito_22,24,72
Requisito_23,12,24
Requisito_24,24,72
Requisito_25,12,24
Requisito_26,12,24
Requisito_27,8,24
Requisito_28,6,24
Requisito_29,36,144
Requisito_30,6,24
Requisito_31,12,72
Requisito_32,12,72
Requisito_33,24,144
Requisito_34,8,72
Requisito_35,4,24
Requisito_36,4,24
Requisito_37,18,72
Requisito_38,12,72
Requisito_39,12,72
Requisito_40,12,72
Requisito_41,6,72
Requisito_42,8,72
Requisito_43,2,24
Requisito_44,18,144
Requisito_45,6,72
Requisito_46,2,24
Requisito_47,18,144
Requisito_48,12,144
Requisito_49,4,72
